word,pronunciation
absorbers,əbzɔrbərz
absorbing,əbzɔrbɪŋ
absorbs,əbzɔrbz
absorption,əbzɔrpʃən
abstain,əbsteɪn
abstained,əbsteɪnd
abstaining,əbsteɪnɪŋ
abstention,əbstɛnʧən
abstentions,əbstɛnʧənz
abstinence,æbstənəns
abstinent,æbstənənt
abstract,æbstrækt
abstracted,æbstræktɪd
abstraction,æbstrækʃən
abstractions,æbstrækʃənz
abstracts,æbstrækts
abstruse,əbstrus
absurd,əbsərd
absurdist,əbsərdɪst
absurdities,əbsərdətiz
absurdity,əbsərdəti
absurdly,əbsərdli
abundance,əbəndəns
abundant,əbəndənt
abundantly,əbəndəntli
abuse,əbjuz
abused,əbjuzd
abuser,əbjuzər
abusers,əbjuzərz
abuses,əbjuzɪz
abusing,əbjuzɪŋ
abusive,əbjusɪv
abut,əbət
abutted,əbətəd
abutting,əbətɪŋ
abuzz,əbəz
abysmal,əbɪzməl
abysmally,əbɪzməli
abyss,əbɪs
acacia,əkeɪʃə
academe,ækədim
academia,ækədimiə
academic,ækədɛmɪk
academically,ækədɛmɪkli
academician,ækədəmɪʃən
academicians,ækədəmɪʃənz
academics,ækədɛmɪks
academies,əkædəmiz
academy,əkædəmi
acapulco,ækəpʊlkoʊ
accede,æksid
acceded,æksidɪd
acceding,æksidɪŋ
accelerate,æksɛləreɪt
accelerated,æksɛləreɪtɪd
accelerates,æksɛləreɪts
accelerating,æksɛləreɪtɪŋ
acceleration,æksɛləreɪʃən
accelerator,æksɛləreɪtər
accelerators,æksɛləreɪtərz
accelerometer,æksɛlərɑmətər
accelerometers,æksɛlərɑmətərz
accent,æksɛnt
accented,æksɛntɪd
accenting,æksɛntɪŋ
accents,æksɛnts
accentuate,æksɛnʧueɪt
accentuated,æksɛnʧueɪtɪd
accentuates,æksɛnʧueɪts
accentuating,æksɛnʧueɪtɪŋ
accept,əksɛpt
acceptability,əksɛptəbɪləti
acceptable,əksɛptəbəl
acceptably,əksɛptəbli
acceptance,əksɛptəns
acceptances,æksɛptənsɪz
accepted,æksɛptɪd
accepting,əksɛptɪŋ
accepts,æksɛpts
access,æksɛs
accessed,æksɛst
accessibility,æksɛsəbɪlɪti
accessible,æksɛsəbəl
accessing,æksɛsɪŋ
accession,əksɛʃən
accessories,æksɛsəriz
accessory,æksɛsəri
accident,æksədənt
accidental,æksədɛnəl
accidentally,æksədɛnəli
accidents,æksədənts
acclaim,əkleɪm
acclaimed,əkleɪmd
acclaims,əkleɪmz
acclamation,ækləmeɪʃən
accolade,ækəleɪd
accolades,ækəleɪdz
accommodate,əkɑmədeɪt
accommodated,əkɑmədeɪtəd
accommodates,əkɑmədeɪts
accommodating,əkɑmədeɪtɪŋ
accommodation,əkɑmədeɪʃən
accommodations,əkɑmədeɪʃənz
accompanied,əkəmpənid
accompanies,əkəmpəniz
accompaniment,əkəmpnɪmənt
accompaniments,əkəmpnɪmənts
accompanist,əkəmpənəst
accompany,əkəmpəni
accompanying,əkəmpəniɪŋ
accomplice,əkɑmpləs
accomplices,əkɑmpləsəz
accomplish,əkɑmplɪʃ
accomplished,əkɑmplɪʃt
accomplishes,əkɑmplɪʃɪz
accomplishing,əkɑmplɪʃɪŋ
accomplishment,əkɑmplɪʃmənt
accomplishments,əkɑmplɪʃmənts
accord,əkɔrd
accordance,əkɔrdəns
accorded,əkɔrdɪd
according,əkɔrdɪŋ
accordingly,əkɔrdɪŋli
accordion,əkɔrdiən
accordions,əkɔrdiənz
accords,əkɔrdz
accost,əkɔst
accosted,əkɑstəd
accosting,əkɑstɪŋ
account,əkaʊnt
accountability,əkaʊntəbɪlɪti
accountable,əkaʊntəbəl
accountancy,əkaʊntəntsi
accountant,əkaʊntənt
accountants,əkaʊntənts
accounted,əkaʊntɪd
accounting,əkaʊnɪŋ
accounts,əkaʊnts
accra,ɑkrɑ
accredit,əkrɛdɪt
accreditation,əkrɛdəteɪʃən
accredited,əkrɛdɪtɪd
accrediting,əkrɛdətɪŋ
accreted,əkritɪd
accretion,əkriʃən
accrual,əkruəl
accruals,əkruəlz
accrue,əkru
accrued,əkrud
accrues,əkruz
accruing,əkruɪŋ
accumulate,əkjumjəleɪt
accumulated,əkjumjəleɪtɪd
accumulates,əkjumjəleɪts
accumulating,əkjumjəleɪtɪŋ
accumulation,əkjumjəleɪʃən
accumulations,əkjumjəleɪʃənz
accumulative,əkjumjəleɪtɪv
accumulator,əkjumjəleɪtər
accumulators,əkjumjəleɪtərz
accuracies,ækjərəsiz
accuracy,ækjərəsi
accurate,ækjərət
accurately,ækjərətli
accusation,ækjəzeɪʃən
accusations,ækjəzeɪʃənz
accusative,əkjuzətɪv
accusatory,əkjuzətɔri
accuse,əkjuz
accused,əkjuzd
accuser,əkjuzər
accusers,əkjuzərz
accuses,əkjuzɪz
accusing,əkjuzɪŋ
accusingly,əkjuzɪŋli
accustom,əkəstəm
accustomed,əkəstəmd
ace,eɪs
aced,eɪst
acerbic,əsɛrbɪk
aces,eɪsɪz
acetate,æsəteɪt
acetic,əsɛtɪk
acetone,æsətoʊn
acetylene,əsɛtəlin
ache,eɪk
ached,eɪkt
aches,eɪks
achievable,əʧivəbəl
achieve,əʧiv
achieved,əʧivd
achievement,əʧivmənt
achievements,əʧivmənts
achiever,əʧivər
achievers,əʧivərz
achieves,əʧivz
achieving,əʧivɪŋ
aching,eɪkɪŋ
achingly,eɪkɪŋli
achy,eɪki
acid,æsəd
acidic,əsɪdɪk
acidification,əsɪdəfəkeɪʃən
acidified,əsɪdəfaɪd
acidify,əsɪdəfaɪ
acidity,əsɪdəti
acidly,æsədli
acids,æsədz
acknowledge,æknɑlɪʤ
acknowledged,æknɑlɪʤd
acknowledgement,æknɑlɪʤmənt
acknowledgements,æknɑlɪʤmənts
acknowledges,æknɑlɪʤɪz
acknowledging,æknɑlɪʤɪŋ
acknowledgment,æknɑlɪʤmənt
acme,ækmi
acne,ækni
acolyte,ækəlaɪt
acolytes,ækəlaɪts
acorn,eɪkɔrn
acorns,eɪkɔrnz
acoustic,əkustɪk
acoustical,əkustɪkəl
acoustically,əkustɪkli
acoustics,əkustɪks
acquaint,əkweɪnt
acquaintance,əkweɪntəns
acquaintances,əkweɪntənsɪz
acquainted,əkweɪnɪd
acquiesce,ækwiɛs
acquiesced,ækwiɛst
acquiescence,ækwiɛsəns
acquiescing,ækwiɛsɪŋ
acquire,əkwaɪər
acquired,əkwaɪərd
acquirer,əkwaɪərər
acquirers,əkwaɪərərz
acquires,əkwaɪərz
acquiring,əkwaɪərɪŋ
acquisition,ækwəzɪʃən
acquisitions,ækwəzɪʃənz
acquisitive,əkwɪzətɪv
acquit,əkwɪt
acquits,əkwɪts
acquittal,əkwɪtəl
acquittals,əkwɪtəlz
acquitted,əkwɪtɪd
acquitting,əkwɪtɪŋ
acre,eɪkər
acreage,eɪkərɪʤ
acres,eɪkərz
acrid,ækrɪd
acrimonious,ækrəmoʊniəs
acrimony,ækrɪmoʊni
acrobat,ækrəbæt
acrobatic,ækrəbætɪk
acrobatics,ækrəbætɪks
acrobats,ækrəbæts
acronym,ækrənɪm
acronyms,ækrənɪmz
across,əkrɔs
acrylic,əkrɪlɪk
acrylics,əkrɪlɪks
act,ækt
acted,æktɪd
acting,æktɪŋ
action,ækʃən
actionable,ækʃənəbəl
actions,ækʃənz
activate,æktəveɪt
activated,æktɪveɪtɪd
activates,æktəveɪts
activating,æktəveɪtɪŋ
activation,æktəveɪʃən
activator,æktəveɪtər
active,æktɪv
actively,æktɪvli
actives,æktɪvz
activism,æktɪvɪzəm
activist,æktɪvɪst
activists,æktɪvɪsts
activities,æktɪvɪtiz
activity,æktɪvɪti
actor,æktər
actors,æktərz
actress,æktrəs
actresses,æktrəsɪz
acts,ækts
actual,ækʧəwəl
actuality,ækʧuæləti
actually,ækʧuəli
actuarial,ækʧuɛriəl
actuaries,ækʧuɛriz
actuary,ækʧuɛri
actuate,ækʧueɪt
actuator,ækʧueɪtər
actuators,ækʧueɪtərz
acuity,əkjuəti
acumen,əkjumən
acupuncture,ækjupəŋkʧər
acute,əkjut
acutely,əkjutli
acuteness,əkjutnəs
adage,ædəʤ
adagio,ədɑʒioʊ
adam,ædəm
adamant,ædəmənt
adamantly,ædəməntli
adapt,ədæpt
adaptability,ədæptəbɪləti
adaptable,ədæptəbəl
adaptation,ædəpteɪʃən
adaptations,ædəpteɪʃənz
adapted,ədæptɪd
adapter,ədæptər
adapters,ədæptərz
adapting,ədæptɪŋ
adaptive,ədæptɪv
adaptor,ədæptər
adaptors,ədæptərz
adapts,ədæpts
add,æd
added,ædɪd
addendum,ədɛndəm
adder,ædər
addict,ædɪkt
addicted,ədɪktɪd
addiction,ədɪkʃən
addictions,ədɪkʃənz
addictive,ədɪktɪv
addicts,ædɪkts
adding,ædɪŋ
addition,ədɪʃən
additional,ədɪʃənəl
additionally,ədɪʃənəli
additions,ədɪʃənz
additive,ædɪtɪv
additives,ædɪtɪvz
addle,ædəl
addled,ædəld
address,ædrɛs
addressable,ædrɛsəbəl
addressed,ədrɛst
addressee,ædrɛsi
addresses,ædrɛsɪz
addressing,ædrɛsɪŋ
adds,ædz
adelaide,ædəleɪd
aden,eɪdən
adenine,ædənin
adenoid,ædənɔɪd
adenoids,ædənɔɪdz
adept,ədɛpt
adequacy,ædəkwəsi
adequate,ædəkweɪt
adequately,ædəkwɪtli
adhere,ədhɪr
adhered,ædhɪrd
adherence,ədhɪrəns
adherent,ədhɪrənt
adherents,ædhɪrənts
adheres,ədhɪrz
adhering,ədhɪrɪŋ
adhesion,ædhiʒən
adhesive,ədhisɪv
adhesives,ədhisɪvz
adieu,ədu
adios,ɑdioʊs
adipose,ædəpoʊs
adjacent,əʤeɪsənt
adjective,æʤɪktɪv
adjectives,æʤɪktɪvz
adjoin,əʤɔɪn
adjoining,əʤɔɪnɪŋ
adjoins,əʤɔɪnz
adjourn,əʤərn
adjourned,əʤərnd
adjourning,əʤərnɪŋ
adjournment,əʤərnmənt
adjourns,əʤərnz
adjudge,əʤəʤ
adjudged,əʤəʤd
adjudicate,əʤudɪkeɪt
adjudicated,əʤudəkeɪtɪd
adjudicating,əʤudɪkeɪtɪŋ
adjudication,əʤudəkeɪʃən
adjunct,æʤəŋkt
adjuncts,æʤəŋkts
adjust,əʤəst
adjustable,əʤəstəbəl
adjusted,əʤəstɪd
adjuster,əʤəstər
adjusting,əʤəstɪŋ
adjustment,əʤəstmənt
adjustments,əʤəstmənts
adjusts,əʤəsts
adjutant,æʤətənt
adman,ædmən
admen,ædmən
admin,ædmɪn
administer,ədmɪnɪstər
administered,ədmɪnɪstərd
administering,ædmɪnɪstərɪŋ
administers,ædmɪnɪstərz
administrate,ædmɪnɪstreɪt
administrating,ədmɪnɪstreɪtɪŋ
administration,ædmɪnɪstreɪʃən
administrations,ædmɪnɪstreɪʃənz
administrative,ədmɪnɪstreɪtɪv
administratively,ædmɪnɪstreɪtɪvli
administrator,ədmɪnɪstreɪtər
administrators,ædmɪnɪstreɪtərz
admirable,ædmərəbəl
admirably,ædmərəbli
admiral,ædmərəl
admirals,ædmərəlz
admiration,ædməreɪʃən
admire,ædmaɪr
admired,ədmaɪərd
admirer,ædmaɪrər
admirers,ədmaɪrərz
admires,ædmaɪrz
admiring,ædmaɪrɪŋ
admiringly,ædmaɪrɪŋli
admissibility,ədmɪsəbɪləti
admissible,ədmɪsəbəl
admission,ədmɪʃən
admissions,ədmɪʃənz
admit,ədmɪt
admits,ədmɪts
admittance,ədmɪtəns
admitted,ədmɪtəd
admittedly,ædmɪtɪdli
admitting,ədmɪtɪŋ
admonish,ædmɑnɪʃ
admonished,ədmɑnɪʃt
admonishes,ædmɑnɪʃɪz
admonishing,ædmɑnɪʃɪŋ
admonishment,ædmɑnɪʃmɛnt
admonition,ædmənɪʃən
admonitions,ædmənɪʃənz
admonitory,ædmɔnɪtɔri
ado,ədu
adobe,ədoʊbi
adolescence,ædəlɛsəns
adolescent,ædəlɛsənt
adolescents,ædəlɛsənts
adonis,ədɑnəs
adopt,ədɑpt
adopted,ədɑptəd
adopter,ədɑptər
adopting,ədɑptɪŋ
adoption,ədɑpʃən
adoptions,ədɑpʃənz
adoptive,ədɑptɪv
adopts,ədɑpts
adorable,ədɔrəbəl
adoration,ædəreɪʃən
adore,ədɔr
adored,ədɔrd
adores,ədɔrz
adoring,ədɔrɪŋ
adorn,ədɔrn
adorned,ədɔrnd
adorning,ədɔrnɪŋ
adornment,ədɔrnmənt
adorns,ədɔrnz
adrenal,ədrinəl
adrenalin,ədrɛnəlɪn
adrenaline,ədrɛnələn
adrift,ədrɪft
adroit,ədrɔɪt
adroitly,ədrɔɪtli
adulation,æʤəleɪʃən
adult,ædəlt
adulterate,ədəltəreɪt
adulterated,ədəltəreɪtɪd
adulterates,ədəltəreɪts
adulteration,ədəltəreɪʃən
adulterer,ədəltərər
adulterers,ədəltərərz
adulterous,ədəltərəs
adultery,ədəltəri
adulthood,ədəlthʊd
adults,ædəlts
advance,ədvæns
advanced,ədvænst
advancement,ədvænsmənt
advancements,ədvænsmənts
advancer,ədvænsər
advances,ədvænsɪz
advancing,ədvænsɪŋ
advantage,ædvæntɪʤ
advantaged,ædvæntɪʤd
advantageous,ædvənteɪʤəs
advantages,ædvæntɪʤɪz
advent,ædvɛnt
adventure,ədvɛnʧər
adventurer,ədvɛnʧərər
adventurers,ədvɛnʧərərz
adventures,ædvɛnʧərz
adventurism,ædvɛnʧərɪzəm
adventurous,ædvɛnʧərəs
adverb,ædvərb
adverbial,ædvərbiəl
adverbs,ædvərbz
adversarial,ædvərsɛriəl
adversaries,ædvərsɛriz
adversary,ædvərsɛri
adverse,ædvərs
adversely,ædvərsli
adversity,ædvərsɪti
advertise,ædvərtaɪz
advertised,ædvərtaɪzd
advertisement,ædvərtaɪzmənt
advertisements,ædvərtaɪzmənts
advertiser,ædvərtaɪzər
advertisers,ædvərtaɪzərz
advertises,ædvərtaɪzɪz
advertising,ædvərtaɪzɪŋ
advice,ədvaɪs
advisability,ædvaɪzəbɪlɪti
advisable,ədvaɪzəbəl
advise,ədvaɪz
advised,ədvaɪzd
advisedly,ədvaɪzədli
adviser,ædvaɪzər
advisers,ædvaɪzərz
advises,ædvaɪzɪz
advising,ædvaɪzɪŋ
advisory,ædvaɪzəri
advocacy,ædvəkəsi
advocate,ædvəkeɪt
advocated,ædvəkeɪtɪd
advocates,ædvəkeɪts
advocating,ædvəkeɪtɪŋ
aegean,eɪʤiən
aegis,iʤəs
aerial,ɛriəl
aerials,ɛriəlz
aerobatic,ɛrəbætɪk
aerobatics,ɛrəbætɪks
aerobic,ɛroʊbɪk
aerobically,ɛroʊbɪkli
aerobics,əroʊbɪks
aerodrome,ɛrədroʊm
aerodromes,ɛrədroʊmz
aerodynamic,ɛroʊdaɪnæmɪk
aerodynamically,ɛroʊdaɪnæmɪkli
aerodynamics,ɛroʊdaɪnæmɪks
aeronautic,ɛroʊnɑtək
aeronautical,ɛrənɑtəkəl
aeronautics,ɛrənɔtɪks
aerosol,ɛrəsɑl
aerosols,ɛrəsɑlz
aerospace,ɛroʊspeɪs
aesop,isɑp
aesthete,ɛsθit
aesthetes,ɛsθits
aesthetic,ɛsθɛtɪk
aesthetically,ɛsθɛtɪkli
afar,əfɑr
affable,æfəbəl
affably,æfəbli
affair,əfɛr
affairs,əfɛrz
affect,əfɛkt
affectation,æfɛkteɪʃən
affected,əfɛktɪd
affecting,əfɛktɪŋ
affection,əfɛkʃən
affectionate,əfɛkʃənət
affectionately,əfɛkʃənətli
affections,əfɛkʃənz
affective,əfɛktɪv
affects,əfɛkts
afferent,æfərənt
affidavit,æfədeɪvət
affidavits,æfɪdeɪvɪts
affiliate,əfɪlieɪt
affiliated,əfɪlieɪtɪd
affiliates,əfɪlieɪts
affiliating,əfɪlieɪtɪŋ
affiliation,əfɪlieɪʃən
affiliations,əfɪlieɪʃənz
affine,əfaɪn
affinities,əfɪnətiz
affinity,əfɪnɪti
affirm,əfərm
affirmation,æfərmeɪʃən
affirmations,æfərmeɪʃənz
affirmative,əfərmətɪv
affirmatively,əfərmətɪvli
affirmed,əfərmd
affirming,əfərmɪŋ
affirms,əfərmz
affix,æfɪks
affixed,əfɪkst
affixes,æfɪksɪz
affixing,əfɪksɪŋ
afflict,əflɪkt
afflicted,əflɪktɪd
afflicting,əflɪktɪŋ
affliction,əflɪkʃən
afflictions,əflɪkʃənz
afflicts,əflɪkts
affluence,æfluəns
affluent,æfluənt
afford,əfɔrd
affordability,əfɔrdəbɪləti
affordable,əfɔrdəbəl
afforded,əfɔrdəd
affording,əfɔrdɪŋ
affords,əfɔrdz
affront,əfrənt
affronted,əfrəntɪd
affronts,əfrənts
afghan,æfgæn
afghani,æfgɑni
afghans,æfgænz
afield,əfild
afire,əfaɪr
aflame,əfleɪm
afloat,əfloʊt
afoot,əfʊt
aforementioned,əfɔrmɛnʃənd
aforesaid,əfɔrsɛd
aforethought,əfɔrθɑt
afraid,əfreɪd
afresh,əfrɛʃ
africa,æfrɪkɑ
african,æfrɪkɑn
africans,æfrɪkənz
afro,æfroʊ
aft,æft
after,æftər
aftereffect,æftərəfɛkt
aftereffects,æftərəfɛkts
afterglow,æftərgloʊ
afterlife,æftərlaɪf
afterlives,æftərlaɪvz
aftermath,æftərmæθ
afternoon,æftərnun
afternoons,æftərnunz
aftershave,æftərʃeɪv
aftershocks,æftərʃɑks
aftertaste,æftərteɪst
afterthought,æftərθɔt
afterthoughts,æftərθɔts
afterward,æftərwərd
afterwards,æftərwərdz
aga,ɑgə
again,əgɛn
against,əgɛnst
agape,əgeɪp
agar,eɪgər
age,eɪʤ
aged,eɪʤɪd
ageless,eɪʤləs
agencies,eɪʤənsiz
agency,eɪʤənsi
agenda,əʤɛndə
agendas,əʤɛndəz
agent,eɪʤənt
agents,eɪʤənts
ages,eɪʤɪz
agglomeration,əglɑməreɪʃən
aggravate,ægrəveɪt
aggravated,ægrəveɪtɪd
aggravates,ægrəveɪts
aggravating,ægrəveɪtɪŋ
aggravation,ægrəveɪʃən
aggregate,ægrəgət
aggregated,ægrəgeɪtəd
aggregates,ægrəgeɪts
aggregation,ægrəgeɪʃən
aggression,əgrɛʃən
aggressions,əgrɛʃənz
aggressive,əgrɛsɪv
aggressively,əgrɛsɪvli
aggressiveness,əgrɛsɪvnəs
aggressor,əgrɛsər
aggressors,əgrɛsərz
aggrieved,əgrivd
aghast,əgæst
agile,æʤəl
agility,əʤɪləti
aging,eɪʤɪŋ
agitate,æʤəteɪt
agitated,æʤəteɪtəd
agitating,æʤəteɪtɪŋ
agitation,æʤəteɪʃən
agitator,æʤəteɪtər
agitators,æʤɪteɪtərz
agitprop,æʤətprɔp
agleam,əglim
aglow,əgloʊ
agnostic,ægnɑstɪk
agnostics,ægnɑstɪks
ago,əgoʊ
agog,əgɑg
agonies,ægəniz
agonist,ægənɪst
agonists,ægənɪsts
agony,ægəni
agora,ægərə
agoraphobia,əgɔrəfoʊbiə
agrarian,əgrɛriən
agree,əgri
agreeable,əgriəbəl
agreed,əgrid
agreeing,əgriɪŋ
agreement,əgrimənt
agreements,əgrimənts
agrees,əgriz
agribusiness,ægrəbɪznəs
agricultural,ægrɪkəlʧərəl
agriculturalist,ægrɪkəlʧərələst
agriculturally,ægrɪkəlʧərəli
agriculture,ægrɪkəlʧər
agrochemical,ægroʊkɛmɪkəl
agrochemicals,ægroʊkɛmɪkəlz
agronomist,əgrɑnəmɪst
agronomists,əgrɑnəmɪsts
aground,əgraʊnd
ah,ɑ
aha,ɑhɑ
ahead,əhɛd
ahoy,əhɔɪ
aid,eɪd
aide,eɪd
aided,eɪdɪd
aides,eɪdz
aiding,eɪdɪŋ
aids,eɪdz
ail,eɪl
aileron,eɪlərɑn
ailerons,eɪlərɑnz
ailing,eɪlɪŋ
ailment,eɪlmənt
ailments,eɪlmənts
ails,eɪlz
aim,eɪm
aimed,eɪmd
aiming,eɪmɪŋ
aimless,eɪmləs
aimlessly,eɪmləsli
aims,eɪmz
air,ɛr
airbase,ɛrbeɪs
airborne,ɛrbɔrn
airbus,ɛrbəs
airconditioned,ɛrkəndɪʃənd
airconditioner,ɛrkəndɪʃənər
airconditioning,ɛrkəndɪʃənɪŋ
aircraft,ɛrkræft
aircrew,ɛrkru
aired,ɛrd
airfield,ɛrfild
airfields,ɛrfildz
airflow,ɛrfloʊ
airforce,ɛrfɔrs
airframe,ɛrfreɪm
airframes,ɛrfreɪmz
airing,ɛrɪŋ
airless,ɛrləs
airlift,ɛrlɪft
airlifted,ɛrlɪftɪd
airlifting,ɛrlɪftɪŋ
airlifts,ɛrlɪfts
airline,ɛrlaɪn
airliner,ɛrlaɪnər
airliners,ɛrlaɪnərz
airlines,ɛrlaɪnz
airlock,ɛrlɔk
airlocks,ɛrlɔks
airmail,ɛrmeɪl
airman,ɛrmən
airmen,ɛrmɛn
airplane,ɛrpleɪn
airport,ɛrpɔrt
airports,ɛrpɔrts
airs,ɛrz
airship,ɛrʃɪp
airships,ɛrʃɪps
airspace,ɛrspeɪs
airstrip,ɛrstrɪp
airstrips,ɛrstrɪps
airtight,ɛrtaɪt
airtime,ɛrtaɪm
airwave,ɛrweɪv
airwaves,ɛrweɪvz
airway,ɛrweɪ
airways,ɛrweɪz
airworthiness,ɛrwərðinəs
airworthy,ɛrwərði
airy,ɛri
aisle,aɪəl
aisles,aɪəlz
ajar,əʤɑr
akimbo,əkɪmboʊ
akin,eɪkɪn
ala,ælə
alabama,æləbæmə
alabaster,æləbæstər
alacrity,əlækrəti
aladdin,ælædɪn
alarm,əlɑrm
alarmed,əlɑrmd
alarming,əlɑrmɪŋ
alarmingly,əlɑrmɪŋli
alarmist,əlɑrmɪst
alarms,əlɑrmz
alas,əlæs
alaska,əlæskə
alaskan,əlæskən
albania,ælbeɪniə
albany,ɔlbəni
albatross,ælbətrɑs
albatrosses,ælbətrɑsɪz
albeit,ɔlbiɪt
albino,ælbaɪnoʊ
album,ælbəm
albumin,ælbjumən
albums,ælbəmz
alchemist,ælkɛmɪst
alchemy,ælkəmi
alcohol,ælkəhɑl
alcoholic,ælkəhɑlɪk
alcoholics,ælkəhɑlɪks
alcoholism,ælkəhɔlɪzəm
alcove,ælkoʊv
alcoves,ælkoʊvz
alder,ɔldər
alderman,ɔldərmən
aldermen,ɔldərmɪn
aldrin,ɔldrɪn
ale,eɪl
alehouse,eɪlhaʊs
alert,ələrt
alerted,ələrtɪd
alerting,ələrtɪŋ
alertly,ələrtli
alertness,ələrtnəs
alerts,ələrts
ales,eɪlz
alfalfa,ælfælfə
algae,ælʤi
algal,ælgəl
algebra,ælʤəbrə
algebraic,ælʤəbreɪɪk
algebraically,ælʤəbreɪɪkli
algeria,ælʤɪriə
algerian,ælʤɪriən
algiers,ælʤɪrz
algorithm,ælgərɪðəm
algorithms,ælgərɪðəmz
alias,eɪliəs
aliases,eɪliəsɪz
alibi,æləbaɪ
alibis,æləbaɪz
alien,eɪliən
alienate,eɪljəneɪt
alienated,eɪliəneɪtɪd
alienates,eɪliəneɪts
alienating,eɪliəneɪtɪŋ
alienation,eɪliəneɪʃən
aliens,eɪliənz
alight,əlaɪt
align,əlaɪn
aligned,əlaɪnd
aligning,əlaɪnɪŋ
alignment,əlaɪnmənt
alignments,əlaɪnmənts
aligns,əlaɪnz
alike,əlaɪk
alimentary,æləmɛntəri
alimony,æləmoʊni
aline,əlaɪn
alines,əlaɪnz
alive,əlaɪv
alkali,ælkəlaɪ
alkaline,ælkəlaɪn
alkalinity,ælkəlɪnəti
alkaloid,ælkəlɔɪd
alkaloids,ælkəlɔɪdz
alkanes,ælkeɪnz
all,ɔl
allay,əleɪ
allayed,əleɪd
allaying,əleɪɪŋ
allays,əleɪz
allegation,æləgeɪʃən
allegations,æləgeɪʃənz
allege,əlɛʤ
